ecosystem,package,version,license,official_metadata,upstream_repository,license_evidence,verification,declared_locations,included_package_code
PyPI,aiohappyeyeballs,2.7.1,PSF-2.0,https://pypi.org/pypi/aiohappyeyeballs/2.7.1/json,https://github.com/aio-libs/aiohappyeyeballs,https://pypi.org/pypi/aiohappyeyeballs/2.7.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,aiohttp,3.14.3,Apache-2.0 AND MIT,https://pypi.org/pypi/aiohttp/3.14.3/json,https://github.com/aio-libs/aiohttp/actions?query=workflow%3ACI,https://pypi.org/pypi/aiohttp/3.14.3/json,versioned official package metadata,backend/uv.lock,no
PyPI,aiosignal,1.4.0,Apache-2.0,https://pypi.org/pypi/aiosignal/1.4.0/json,https://github.com/aio-libs/aiosignal/actions,https://pypi.org/pypi/aiosignal/1.4.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,alembic,1.18.5,MIT,https://pypi.org/pypi/alembic/1.18.5/json,https://github.com/sqlalchemy/alembic/,https://pypi.org/pypi/alembic/1.18.5/json,versioned official package metadata,backend/uv.lock,no
PyPI,annotated-doc,0.0.4,MIT,https://pypi.org/pypi/annotated-doc/0.0.4/json,https://github.com/fastapi/annotated-doc,https://pypi.org/pypi/annotated-doc/0.0.4/json,versioned official package metadata,backend/uv.lock,no
PyPI,annotated-types,0.8.0,MIT,https://pypi.org/pypi/annotated-types/0.8.0/json,https://github.com/annotated-types/annotated-types,https://pypi.org/pypi/annotated-types/0.8.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,anyio,4.14.2,MIT,https://pypi.org/pypi/anyio/4.14.2/json,https://github.com/agronholm/anyio,https://pypi.org/pypi/anyio/4.14.2/json,versioned official package metadata,backend/uv.lock,no
PyPI,argon2-cffi,25.1.0,MIT,https://pypi.org/pypi/argon2-cffi/25.1.0/json,https://github.com/hynek/argon2-cffi,https://pypi.org/pypi/argon2-cffi/25.1.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,argon2-cffi-bindings,25.1.0,MIT,https://pypi.org/pypi/argon2-cffi-bindings/25.1.0/json,https://github.com/hynek/argon2-cffi-bindings,https://pypi.org/pypi/argon2-cffi-bindings/25.1.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,attrs,26.1.0,MIT,https://pypi.org/pypi/attrs/26.1.0/json,https://github.com/python-attrs/attrs,https://pypi.org/pypi/attrs/26.1.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,av,18.0.0,BSD-3-Clause,https://pypi.org/pypi/av/18.0.0/json,https://github.com/PyAV-Org/PyAV,https://pypi.org/pypi/av/18.0.0/json,versioned official package metadata,stt/requirements.txt,no
PyPI,cachecontrol,0.14.4,Apache-2.0,https://pypi.org/pypi/cachecontrol/0.14.4/json,https://github.com/psf/cachecontrol,https://pypi.org/pypi/cachecontrol/0.14.4/json,versioned official package metadata,backend/uv.lock,no
PyPI,certifi,2026.7.22,MPL-2.0,https://pypi.org/pypi/certifi/2026.7.22/json,https://github.com/certifi/python-certifi,https://pypi.org/pypi/certifi/2026.7.22/json,versioned official package metadata,backend/uv.lock,no
PyPI,cffi,2.1.0,MIT-0,https://pypi.org/pypi/cffi/2.1.0/json,https://github.com/python-cffi/cffi,https://pypi.org/pypi/cffi/2.1.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,charset-normalizer,3.4.9,MIT,https://pypi.org/pypi/charset-normalizer/3.4.9/json,,https://pypi.org/pypi/charset-normalizer/3.4.9/json,versioned official package metadata,backend/uv.lock,no
PyPI,click,8.4.2,BSD-3-Clause,https://pypi.org/pypi/click/8.4.2/json,https://github.com/pallets/click/,https://pypi.org/pypi/click/8.4.2/json,versioned official package metadata,backend/uv.lock,no
PyPI,colorama,0.4.6,BSD-3-Clause,https://pypi.org/pypi/colorama/0.4.6/json,,https://raw.githubusercontent.com/tartley/colorama/0.4.6/LICENSE.txt,versioned upstream LICENSE,backend/uv.lock,no
PyPI,cryptography,49.0.0,Apache-2.0 OR BSD-3-Clause,https://pypi.org/pypi/cryptography/49.0.0/json,https://github.com/pyca/cryptography/,https://pypi.org/pypi/cryptography/49.0.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,fastapi,0.116.1,MIT,https://pypi.org/pypi/fastapi/0.116.1/json,https://github.com/fastapi/fastapi,https://pypi.org/pypi/fastapi/0.116.1/json,versioned official package metadata,stt/requirements.txt,no
PyPI,fastapi,0.140.0,MIT,https://pypi.org/pypi/fastapi/0.140.0/json,https://github.com/fastapi/fastapi,https://pypi.org/pypi/fastapi/0.140.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,faster-whisper,1.2.1,MIT,https://pypi.org/pypi/faster-whisper/1.2.1/json,https://github.com/SYSTRAN/faster-whisper,https://pypi.org/pypi/faster-whisper/1.2.1/json,versioned official package metadata,stt/requirements.txt,no
PyPI,firebase-admin,7.5.0,Apache-2.0,https://pypi.org/pypi/firebase-admin/7.5.0/json,https://github.com/firebase/firebase-admin-python,https://pypi.org/pypi/firebase-admin/7.5.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,frozenlist,1.8.0,Apache-2.0,https://pypi.org/pypi/frozenlist/1.8.0/json,https://github.com/aio-libs/frozenlist/actions,https://pypi.org/pypi/frozenlist/1.8.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-api-core,2.34.0,Apache-2.0,https://pypi.org/pypi/google-api-core/2.34.0/json,https://github.com/googleapis/google-cloud-python,https://pypi.org/pypi/google-api-core/2.34.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-auth,2.56.3,Apache-2.0,https://pypi.org/pypi/google-auth/2.56.3/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-auth,https://pypi.org/pypi/google-auth/2.56.3/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-cloud-core,2.6.1,Apache-2.0,https://pypi.org/pypi/google-cloud-core/2.6.1/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-core,https://pypi.org/pypi/google-cloud-core/2.6.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-cloud-firestore,2.28.1,Apache-2.0,https://pypi.org/pypi/google-cloud-firestore/2.28.1/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-firestore,https://pypi.org/pypi/google-cloud-firestore/2.28.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-cloud-storage,3.13.1,Apache-2.0,https://pypi.org/pypi/google-cloud-storage/3.13.1/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-storage,https://pypi.org/pypi/google-cloud-storage/3.13.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,google-crc32c,1.8.0,Apache-2.0,https://pypi.org/pypi/google-crc32c/1.8.0/json,https://github.com/googleapis/python-crc32c,https://raw.githubusercontent.com/googleapis/python-crc32c/v1.8.0/LICENSE,versioned upstream LICENSE,backend/uv.lock,no
PyPI,google-resumable-media,2.10.1,Apache-2.0,https://pypi.org/pypi/google-resumable-media/2.10.1/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-resumable-media,https://pypi.org/pypi/google-resumable-media/2.10.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,googleapis-common-protos,1.75.1,Apache-2.0,https://pypi.org/pypi/googleapis-common-protos/1.75.1/json,https://github.com/googleapis/google-cloud-python/tree/main/packages/googleapis-common-protos,https://pypi.org/pypi/googleapis-common-protos/1.75.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,greenlet,3.5.4,MIT AND PSF-2.0,https://pypi.org/pypi/greenlet/3.5.4/json,https://github.com/python-greenlet/greenlet,https://pypi.org/pypi/greenlet/3.5.4/json,versioned official package metadata,backend/uv.lock,no
PyPI,grpcio,1.83.0,Apache-2.0,https://pypi.org/pypi/grpcio/1.83.0/json,https://github.com/grpc/grpc,https://pypi.org/pypi/grpcio/1.83.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,grpcio-status,1.83.0,Apache-2.0,https://pypi.org/pypi/grpcio-status/1.83.0/json,,https://pypi.org/pypi/grpcio-status/1.83.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,h11,0.16.0,MIT,https://pypi.org/pypi/h11/0.16.0/json,https://github.com/python-hyper/h11,https://pypi.org/pypi/h11/0.16.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,h2,4.4.1,MIT,https://pypi.org/pypi/h2/4.4.1/json,https://github.com/python-hyper/h2/issues,https://pypi.org/pypi/h2/4.4.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,hpack,4.2.0,MIT,https://pypi.org/pypi/hpack/4.2.0/json,https://github.com/python-hyper/hpack/issues,https://pypi.org/pypi/hpack/4.2.0/json,versioned official package metadata,backend/uv.lock,no
PyPI,http-ece,1.2.1,MIT,https://pypi.org/pypi/http-ece/1.2.1/json,https://github.com/martinthomson/encrypted-content-encoding,https://pypi.org/pypi/http-ece/1.2.1/json,versioned official package metadata,backend/uv.lock,no
PyPI,httpcore,1.0.9,BSD-3-Clause,https://pypi.org/pypi/httpcore/1.0.9/json,https://github.com/encode/httpcore,https://pypi.org/pypi/httpcore/1.0.9/json,versioned official package metadata,backend/uv.lock,no
PyPI,httptools,0.8.0,MIT,https://pypi.org/pypi/httptools/0.8.0/json,,https://pypi.org/pypi/httptools/0.8.0/json,versioned official package metadata,backend/uv.lock,no
